Loan_ID,Loan_Status
LP001015,Y
LP001022,Y
LP001031,Y
LP001035,Y
LP001051,0
LP001054,0
LP001055,Y
LP001056,0
LP001059,Y
LP001067,Y
LP001078,0
LP001082,Y
LP001083,Y
LP001094,0
LP001096,Y
LP001099,0
LP001105,0
LP001107,Y
LP001108,Y
LP001115,Y
LP001121,Y
LP001124,0
LP001128,Y
LP001135,Y
LP001149,0
LP001153,0
LP001163,Y
LP001169,0
LP001174,Y
LP001176,0
LP001177,Y
LP001183,Y
LP001185,0
LP001187,Y
LP001190,Y
LP001203,0
LP001208,Y
LP001210,Y
LP001211,Y
LP001219,Y
LP001220,Y
LP001221,Y
LP001226,Y
LP001230,0
LP001231,Y
LP001232,Y
LP001237,Y
LP001242,Y
LP001268,Y
LP001270,0
LP001284,Y
LP001287,Y
LP001291,Y
LP001298,Y
LP001312,Y
LP001313,0
LP001317,Y
LP001321,Y
LP001323,0
LP001324,Y
LP001332,Y
LP001335,Y
LP001338,0
LP001347,0
LP001348,Y
LP001351,Y
LP001352,Y
LP001358,0
LP001359,Y
LP001361,0
LP001366,Y
LP001368,0
LP001375,Y
LP001380,0
LP001386,Y
LP001400,0
LP001407,Y
LP001413,Y
LP001415,Y
LP001419,Y
LP001420,0
LP001428,Y
LP001445,0
LP001446,Y
LP001450,Y
LP001452,Y
LP001455,0
LP001466,Y
LP001471,Y
LP001472,0
LP001475,Y
LP001483,Y
LP001486,Y
LP001490,Y
LP001496,0
LP001499,Y
LP001500,Y
LP001501,Y
LP001517,Y
LP001527,Y
LP001534,Y
LP001542,0
LP001547,Y
LP001548,Y
LP001558,Y
LP001561,Y
LP001563,0
LP001567,Y
LP001568,Y
LP001573,Y
LP001584,Y
LP001587,Y
LP001589,Y
LP001591,Y
LP001599,0
LP001601,Y
LP001607,0
LP001611,0
LP001613,0
LP001622,0
LP001627,Y
LP001650,Y
LP001651,Y
LP001652,0
LP001655,0
LP001660,Y
LP001662,0
LP001663,Y
LP001667,Y
LP001695,Y
LP001703,Y
LP001718,0
LP001728,Y
LP001735,Y
LP001737,0
LP001739,Y
LP001742,Y
LP001757,Y
LP001769,Y
LP001771,Y
LP001785,Y
LP001787,Y
LP001789,0
LP001791,0
LP001794,Y
LP001797,Y
LP001815,Y
LP001817,0
LP001818,Y
LP001822,Y
LP001827,Y
LP001831,Y
LP001842,0
LP001853,0
LP001855,Y
LP001857,0
LP001862,Y
LP001867,Y
LP001878,0
LP001881,Y
LP001886,0
LP001906,0
LP001909,0
LP001911,Y
LP001921,Y
LP001923,0
LP001933,0
LP001943,Y
LP001950,0
LP001959,Y
LP001961,Y
LP001973,Y
LP001975,0
LP001979,0
LP001995,0
LP001999,Y
LP002007,0
LP002009,Y
LP002016,0
LP002017,Y
LP002018,Y
LP002027,0
LP002028,Y
LP002042,Y
LP002045,Y
LP002046,Y
LP002047,0
LP002056,Y
LP002057,Y
LP002059,Y
LP002062,Y
LP002064,0
LP002069,0
LP002070,0
LP002077,Y
LP002083,Y
LP002090,0
LP002096,Y
LP002099,0
LP002102,Y
LP002105,Y
LP002107,Y
LP002111,Y
LP002117,Y
LP002118,Y
LP002123,Y
LP002125,Y
LP002148,Y
LP002152,Y
LP002165,0
LP002167,0
LP002168,0
LP002172,Y
LP002176,Y
LP002183,Y
LP002184,0
LP002186,0
LP002192,0
LP002195,Y
LP002208,Y
LP002212,Y
LP002240,Y
LP002245,0
LP002253,0
LP002256,0
LP002257,Y
LP002264,Y
LP002270,Y
LP002279,Y
LP002286,0
LP002294,Y
LP002298,Y
LP002306,Y
LP002310,Y
LP002311,Y
LP002316,0
LP002321,0
LP002325,Y
LP002326,Y
LP002329,0
LP002333,Y
LP002339,0
LP002344,Y
LP002346,0
LP002354,Y
LP002355,0
LP002358,0
LP002360,Y
LP002375,0
LP002376,Y
LP002383,0
LP002385,Y
LP002389,Y
LP002394,Y
LP002397,Y
LP002399,0
LP002400,Y
LP002402,Y
LP002412,Y
LP002415,0
LP002417,0
LP002420,Y
LP002425,Y
LP002433,Y
LP002440,Y
LP002441,Y
LP002442,0
LP002445,Y
LP002450,0
LP002471,Y
LP002476,Y
LP002482,Y
LP002485,0
LP002495,0
LP002496,0
LP002523,Y
LP002542,Y
LP002550,Y
LP002551,0
LP002553,Y
LP002554,Y
LP002561,Y
LP002566,Y
LP002568,0
LP002570,Y
LP002572,Y
LP002581,Y
LP002584,0
LP002592,0
LP002593,0
LP002599,0
LP002604,Y
LP002605,0
LP002609,0
LP002610,Y
LP002612,Y
LP002614,Y
LP002630,0
LP002635,Y
LP002639,Y
LP002644,Y
LP002651,0
LP002654,Y
LP002657,Y
LP002711,Y
LP002712,0
LP002721,Y
LP002735,Y
LP002744,Y
LP002745,Y
LP002746,Y
LP002747,0
LP002754,Y
LP002759,0
LP002760,0
LP002766,Y
LP002769,Y
LP002774,0
LP002775,Y
LP002781,Y
LP002782,Y
LP002786,0
LP002790,0
LP002791,0
LP002793,Y
LP002802,0
LP002803,Y
LP002805,Y
LP002806,Y
LP002816,Y
LP002823,Y
LP002825,Y
LP002826,0
LP002843,Y
LP002849,Y
LP002850,Y
LP002853,Y
LP002856,Y
LP002857,0
LP002858,0
LP002860,Y
LP002867,Y
LP002869,0
LP002870,Y
LP002876,Y
LP002878,Y
LP002879,0
LP002885,0
LP002890,Y
LP002891,Y
LP002899,Y
LP002901,0
LP002907,Y
LP002920,Y
LP002921,0
LP002932,Y
LP002935,Y
LP002952,Y
LP002954,0
LP002962,0
LP002965,Y
LP002969,Y
LP002971,Y
LP002975,Y
LP002980,0
LP002986,0
LP002989,0
